Demolition ,4311,557.9,623.3
Site preparation ,4312,451.9,522.6
Test drilling and boring ,4313,431.6,467.4
"Electrical, plumbing and other construction installation activities ",432,554.6,582.9
Electrical installation ,4321,552.4,580.1
"Plumbing, heat and air-conditioning installation  ",4322,555.5,595.7
Other construction installation ,4329,540.2,558.1
Building completion and finishing ,433,471.8,526.8
Plastering ,4331,496.9,603.2
Joinery installation ,4332,467.4,515.7
Floor and wall covering ,4333,475.4,550.9
Painting and glazing ,4334,455.1,497.5
Other building completion and finishing ,4339,495.5,550.8
Other specialised construction activities n.e.c. ,439,517.2,593.3
Roofing activities,4391,500,578.2
Other specialised construction activities n.e.c.,4399,519.3,597.9
WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ,G,393.3,482.1
Wholesale and retail trade and repair of motor vehicles and motorcycles ,45,419.4,464.8
Sale of motor vehicles ,451,421.6,488
Sale of cars and light motor vehicles ,4511,421.6,485
Sale of other motor vehicles ,4519,458.6,523.8
Maintenance and repair of motor vehicles ,452,422.7,434.2
Maintenance and repair of motor vehicles  ,4520,422.7,434.2
Sale of motor vehicle parts and accessories ,453,392.9,465.8
Wholesale trade of motor vehicle parts and accessories ,4531,407.7,491.7
Retail trade of motor vehicle parts and accessories  ,4532,365.7,416
"Sale, maintenance and repair of motorcycles and related parts and accessories ",454,420.3,485
"Sale, maintenance and repair of motorcycles and related parts and accessories ",4540,420.3,485
"Wholesale trade, except of motor vehicles and motorcycles ",46,490.6,614.4
Wholesale on a fee or contract basis ,461,510.6,691.8
"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",4611,,375.7
"Agents involved in the sale of fuels, ores, metals and industrial chemicals ",4612,,1103.3
Agents involved in the sale of timber and building materials ,4613,412.8,510.9
"Agents involved in the sale of machinery, industrial equipment, ships and aircraft ",4614,,674.7
"Agents involved in the sale of furniture, household goods, hardware and ironmongery",4615,,
"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods ",4616,,
