EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPayPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleMedianBonusPayPercent,FemaleMedianBonusPayPercent,MaleLowerPayBand,FemaleLowerPayBand,MaleMiddlePayBand,FemaleMiddlePayBand,MaleUpperPayBand,FemaleUpperPayBand,MaleUpperQuartilePayBand,FemaleUpperQuartilePayBand,CompanyLinkToGPGInfo,ResponsiblePerson
Campbell's Prime Meat Ltd.,"The Heatherfield,
Haining Road,
Linlithgow,
West Lothian,
United Kingdom,
EH49 6LQ",SC051565,"10130,
10200",-21.90,-13.10,100.00,100.00,1.50,0.00,94.90,5.10,72.10,27.90,77.20,22.80,71.80,28.20,,Stephen Sweeney (Finance Director)
Camphill Village Trust Ltd.(The),"CAMPHILL VILLAGE TRUST,
The Kingfisher Offices,
9 Saville Street,
Malton,
North Yorkshire,
United Kingdom,
YO17 7LL",00539694,87900,12.00,4.80,0.00,0.00,0.00,0.00,36.50,63.50,31.60,68.40,36.00,64.00,44.90,55.10,,Frances Wright (HR Director)
Canford School,"Canford Magna,
Wimborne,
Dorset,
United Kingdom,
BH21 3AD",PUBLIC021,85200,16.20,14.60,0.00,0.00,0.00,0.00,41.90,58.10,46.70,53.30,43.80,56.20,58.50,41.50,https://www.canford.com/Employment-Policies,David Brook (Managing Director/Bursar)
CAPGEMINI UK PLC,"1, Forge End,
Woking,
Surrey,
GU21 6DB",00943935,62020,19.40,17.00,37.10,45.60,57.10,54.40,66.40,33.60,72.10,27.90,77.50,22.50,85.50,14.50,https://www.capgemini.com/gb-en/resources/capgemini-uk-gender-pay-gap/,Frances Duffy (UK HR Director)
CAPITAL (HAIR AND BEAUTY) LIMITED,"Capital (Hair & Beauty) Ltd Crowhurst Corner, Crowhurst Road,
Brighton,
BN1 8AP",00530201,46450,40.40,27.90,64.80,60.10,91.00,96.00,7.70,92.30,7.10,92.90,17.80,82.20,39.00,61.00,https://www.capitalhairandbeauty.co.uk/gender-pay-gap-reporting,Harry Sleet (Finance Director)
Cardinal Security Ltd.,"Cartwrights,
33 Wood Street,
Barnet,
Hertfordshire,
England,
EN5 4BE",04714467,80100,-11.00,-4.00,0.00,0.00,0.00,0.00,96.00,4.00,98.00,2.00,95.00,5.00,90.00,10.00,,Natalie Clack (Head of HR)
Care Quality Commission,"151 Buckingham Palace Road,
London,
London,
United Kingdom,
SW1W 9SZ",,1,1.20,-1.00,0.00,0.00,0.00,0.00,36.60,63.40,28.10,71.90,27.40,72.60,31.50,68.50,http://www.cqc.org.uk/about-us/transparency/salaries-structure-staff-survey#genderpay,
Carter Synergy Ltd.,"Redhill Road,
Hay Mills,
Birmingham,
United Kingdom,
B25 8EY",00176807,33140,38.00,39.40,64.90,65.60,42.70,35.60,54.60,45.40,93.50,6.50,100.00,0.00,99.10,0.90,http://www.cartersynergy.com/news/gender-pay-gap-report-2018.html,Andrew Bews (HR Director)
Cartrefi Cymunedol Gwynedd Cyfyngedig,"Units 6 & 7,
Llys Castan,
Parc Menai,
Bangor,
Gwynedd,
United Kingdom,
LL57 4FD",IP30776R,68310,6.90,-0.70,0.00,0.00,0.00,0.00,43.10,56.90,90.60,9.40,59.40,40.60,68.80,31.20,,Delyth Williams (Assistant Director - People)
Cashino Gaming Ltd.,"Seebeck House 1a Seebeck Place,
Knowlhill,
Milton Keynes,
Buckinghamshire,
United Kingdom,
MK5 8FR",01038403,92000,-0.70,-1.80,31.20,-14.60,65.90,74.30,47.60,52.40,57.60,42.40,48.50,51.50,45.60,54.40,http://praesepeplc.com/,Nick Harding (CEO)
Casna Ltd.,"7c Bayham Street,
London,
United Kingdom,
NW1 0EY",01130951,"81210,
81222",-2.10,0.00,-85.00,0.00,18.30,22.00,64.00,36.00,28.00,72.00,100.00,0.00,84.00,16.00,http://casnagroup.co.uk,Nicholas Appell (Managing Director)
Castell Howell Foods Ltd.,"Cross Hands Food Park,
Cross Hands,
Llanelli,
Carmarthenshire,
United Kingdom,
SA14 6SX",02269053,46390,-8.70,-8.20,-30.70,-280.80,60.00,72.00,65.00,35.00,79.00,21.00,83.00,17.00,89.50,10.50,,Michael Davies (HR Director)
Catholic Agency For Overseas Development,"Romero House,
55 Westminster Bridge Road,
London,
United Kingdom,
SE1 7JB",09387398,88990,8.30,7.60,0.00,0.00,0.00,0.00,28.60,71.40,19.20,80.80,41.00,59.00,51.30,48.70,https://cafod.org.uk/content/download/44495/517913/version/1/file/CAFOD%20Gender%20Pay%20Report.pdf,Lorraine Walsh (Head of People)
CENTAUR SERVICES LIMITED,"Centaur House, Torbay Road,
Castle Cary,
Somerset,
BA7 7EU",00787385,75000,-5.70,-2.60,-25.10,3.00,78.20,84.70,65.00,35.00,74.00,26.00,68.00,32.00,74.00,26.00,,Brian Topper (Managing Director)
Center Parcs (Operating Co.) Ltd.,"One Edison Rise, New Ollerton,
Newark,
Nottinghamshire,
United Kingdom,
NG22 9DP",04379585,70100,13.00,13.20,60.30,54.50,52.30,56.00,20.80,79.20,22.30,77.70,39.50,60.50,49.80,50.20,https://www.centerparcs.co.uk/company-information/corporate.html,Martin Dalby (CEO)
Center Parcs Ltd.,"One Edison Rise, New Ollerton,
Newark,
Nottinghamshire,
United Kingdom,
NG22 9DP",01908230,64209,18.70,13.20,76.50,50.60,52.30,53.40,18.10,81.90,21.80,78.20,33.40,66.60,41.10,58.90,https://www.centerparcs.co.uk/company-information/corporate.html,Martin Dalby (CEO)
CENTRAL ENGLAND CO-OPERATIVE LIMITED,"Hermes Road,
Lichfield,
WS13 6RH",IP10143R,,18.10,7.50,80.50,33.30,61.00,70.00,28.00,72.00,26.00,74.00,26.00,74.00,55.00,45.00,https://www.centralengland.coop/your-co-op/corporate-responsibility,Tracey Orr (Support Services Executive)
CGF MARKETING SERVICES LIMITED,"The Data Solutions Centre, Manton Wood Enterprise Park,
Worksop,
Notts,
S80 2RT",02151319,"63110,
82200",38.00,0.40,48.90,16.90,30.30,16.40,55.90,44.10,36.80,63.20,42.60,57.40,25.00,75.00,,Marie Sandler (HR Director)
CHARCOALBLUE LLP,"2, Arundel Street,
2 Arundel Street,
London,
England,
WC2R 3DA",OC373258,,24.80,29.90,0.00,0.00,75.00,75.00,54.60,45.40,72.70,27.30,54.60,45.40,100.00,0.00,,Katy Winter (Senior Partner)
Charlies Stores Ltd.,"Unit 2 Dyffryn Enterprise Park,
Pool Road,
Newtown,
Powys,
United Kingdom,
SY16 3BD",01761459,47190,11.00,6.00,36.00,11.00,48.00,69.00,42.00,58.00,46.00,54.00,48.00,52.00,67.00,33.00,http://www.charliesdirect.co.uk,Nick Dann (Finance Director)
Chartwells Hounslow (Feeding Futures) Ltd.,"Parklands Court 24 Parklands,
Birmingham Gt Park Rubery,
Birmingham,
West Midlands,
United Kingdom,
B45 9PZ",08989091,"56210,
56290",25.60,12.00,0.00,0.00,0.00,0.00,9.10,90.90,0.00,100.00,1.50,98.50,29.90,70.10,https://www.compass-group.co.uk/media/3405/gender-pay-gap-2017.pdf,Donna Catley (HR Director)
Chelmsford Star Co-Operative Society Ltd.,"220 Moulsham Street,
Chelmsford,
Essex,
United Kingdom,
CM2 OLS",IP000973,47110,13.70,0.00,70.30,38.50,53.00,59.00,39.00,61.00,25.00,75.00,33.00,67.00,48.00,52.00,,Ellen Tredwin (Secretary)
Chemring Countermeasures Ltd.,"Roke Manor,
Old Salisbury Lane,
Romsey,
Hampshire,
United Kingdom,
SO51 0ZN",00218229,"20510,
25400",25.50,10.50,36.20,25.00,92.60,92.60,60.00,40.00,77.00,23.00,79.00,21.00,87.00,13.00,http://www.chemringcm.com/~/media/Files/C/Chemring-CounterMeasures-V2/Gender%20Pay%20Gap.pdf,Simon Darling (Managing Director)
Chemring Energetics UK Ltd.,"Troon House,
Ardeer Site,
Stevenston,
Ayrshire,
United Kingdom,
KA20 3LN",SC237472,82990,27.00,28.00,50.00,0.00,97.00,98.00,52.00,48.00,70.00,30.00,82.00,18.00,85.00,15.00,http://www.chemringenergetics.co.uk/~/media/Files/C/Chemring-Energetics-V2/documents/CEUK%20GENDER%20PAY%20GAP%20REPORT%20002.pdf,Stuart Cameron (Managing Director)
Cherry Lane Retail Centres Ltd.,"Westbridge House,
Holland Street,
Hyson Green,
Nottingham,
United Kingdom",01603760,47190,2.50,0.00,0.00,0.00,0.00,0.00,42.00,58.00,34.00,66.00,20.00,80.00,49.00,51.00,,Nicola Waterman (HR Director)
Chichester District Council,"East Pallant House,
1 East Pallant,
Chichester,
PO19 1TY",,1,3.60,3.40,-164.00,-252.00,0.70,0.30,56.00,44.00,39.00,61.00,44.00,56.00,57.00,43.00,http://www.chichester.gov.uk/councildata#paygap,
Chorley Borough Council,"Town Hall,
Market Street,
Chorley,
PR7 1DP",,"1,
84110",1.20,0.00,0.00,0.00,0.00,0.00,55.50,44.50,38.60,61.40,46.50,53.50,54.20,45.80,http://chorley.gov.uk/Pages/AtoZ/Financial%20information.aspx,
CHROMALLOY UNITED KINGDOM LIMITED,"10, Clover Nook Road, Cotes Park Industrial Estate,
Somercotes,
Alfreton,
England,
DE55 4RF",00971349,25990,17.10,-2.80,60.60,30.00,22.40,35.70,87.70,12.30,95.40,4.60,84.60,15.40,93.80,6.20,,Patrick George (HR Lead)
Circadian Trust,"Bradley Stoke Leisure Centre,
Bradley Stoke,
Bristol,
South Gloucestershire,
United Kingdom,
BS32 9BS",05384234,"93110,
93130",-9.70,-10.00,41.10,45.40,34.00,42.00,42.10,57.90,55.00,45.00,45.00,55.00,25.50,74.50,https://www.activecentres.org/terms/gender-pay-gap/,Juliet Kilty (Business Support Director)
CITRIX R&D LIMITED,"Building 3, Chalfont Park,
Chalfont St Peter,
Gerrards Cross,
Buckinghamshire,
United Kingdom,
SL9 0BG",09713256,"62012,
62090",20.10,23.20,72.00,66.70,86.40,89.70,78.00,22.00,86.70,13.30,93.30,6.70,96.70,3.30,https://www.citrix.com/about/diversity-inclusion/,Jane Higgs (Senior HR Business Partner - NE)
Citrix Systems UK Ltd.,"Building 3, Chalfont Park,
Chalfont St Peter,
Gerrards Cross,
Buckinghamshire,
SL9 0BG",02937203,"62012,
62090",28.00,31.20,75.00,75.60,94.10,91.80,47.40,52.60,79.30,20.70,77.60,22.40,89.70,10.30,https://www.citrix.com/about/diversity-inclusion/,Jane Higgs (Senior HR Business Partner - NE)
City College Coventry,"50 Swanswell Street,
Coventry,
West Midlands,
United Kingdom,
CV1 5DG",,"1,
85320",14.90,27.70,0.00,0.00,0.00,0.00,24.00,76.00,28.00,72.00,48.00,52.00,56.00,44.00,,
Clean Linen Services Ltd.,"Clean House Grove Business Park,
Waltham Road, White Waltham,
Maidenhead,
Berkshire,
United Kingdom,
SL6 3TN",00087908,"77210,
96010",20.50,0.00,52.50,44.00,2.50,1.50,52.00,48.00,50.00,50.00,68.00,32.00,76.00,24.00,http://www.cleanservices.co.uk/about,Sarah Cooper (Chief People Officer)
CLEARVIEW CLEANING SERVICES (HEREFORD) LIMITED,"46-47 Catherine Street,
HR1 2DU",04128774,,3.40,0.00,0.00,0.00,0.00,0.00,11.30,88.70,11.30,88.70,11.40,88.60,14.10,85.90,http://clearview-cleaning.co.uk/inews/9131-clearview-cleaning-services--hereford-limited-gender-gap-reporting-2017--2018.html,Peter Dixon (Operations Director)
Cleveland Fire Brigade,"Training And Administration Hub,
Queens Meadow Business Park,
Hartlepool,
England,
TS25 5TH",07583911,"1,
66210,
71121,
74100,
74909",6.30,3.00,0.00,0.00,0.00,0.00,64.00,36.00,94.00,6.00,81.00,19.00,87.00,13.00,,
Cleveland Police,"Ash House 111 Acres,
Princeton Drive Stockton on Tees,
TS17 6AJ",,"1,
84240",8.00,0.00,0.00,0.00,0.00,0.00,51.10,48.90,69.10,30.90,70.10,29.90,76.50,23.50,,
Clydesdale Bank PLC,"30 , St Vincent Place,
Glasgow,
G1 2HL",SC001111,64191,37.00,36.00,58.00,39.00,85.00,90.00,22.00,78.00,23.00,77.00,36.00,64.00,63.00,37.00,http://www.cybg.com/media-relations/news/2017/cybg-publishes-first-ever-gender-pay-gap-report,Kate Guthrie (HR Director)
Cms Cameron Mckenna Nabarro Olswang Services Ltd.,"Cannon Place,
78 Cannon Street,
London,
United Kingdom,
EC4N 6AF",07451655,"74909,
82110",17.30,32.80,26.90,30.40,85.00,90.00,17.00,83.00,26.00,74.00,37.00,63.00,40.00,60.00,https://cms.law/en/GBR/About-Us/Who-we-are/CMS-Gender-pay-gap-stats,Stephen Millar (Managing Partner)
Coca-Cola European Partners Great Britain Ltd.,"Pemberton House,
Bakers Road,
Uxbridge,
England,
UB8 1EZ",00027173,11070,10.10,10.70,40.50,-10.70,94.10,93.40,59.70,40.30,75.10,24.90,80.70,19.30,69.10,30.90,https://www.cokecce.co.uk/sustainability,Huma Allana (Director)
College of Haringey Enfield & North East London,"73 Hertford Road,
Enfield,
Middlesex,
United Kingdom,
EN3 5HA",,"1,
85320",0.40,0.00,-100.00,-100.00,0.00,2.60,36.30,63.70,40.70,59.30,38.20,61.80,37.40,62.60,,
Community Lives Consortium,"24 Walter Road,
Swansea,
United Kingdom,
SA1 5NN",09442336,87200,3.40,0.00,0.00,0.00,0.00,0.00,33.00,67.00,33.00,67.00,29.00,71.00,32.00,68.00,,Stephen Harrison (Business and Finance Director)
"COMPASS GROUP, UK AND IRELAND LIMITED","Parklands Court 24 Parklands, Birmingham Great Park,
Rubery,
Birmingham West Midlands,
B45 9PZ",02272248,70100,17.20,14.00,64.40,50.00,10.80,6.30,22.70,77.30,27.40,72.60,35.10,64.90,50.80,49.20,https://www.compass-group.co.uk/media/3405/gender-pay-gap-2017.pdf,Donna Catley (HR Director)
CONGREGATION OF THE LITTLE SISTERS OF THE POOR TRUSTEE COMPANYLIMITED(THE),"St Peters Meadow Road, South Lambeth,
London,
SW8 1QH",00867949,96090,1.30,5.50,0.00,0.00,0.00,0.00,16.00,84.00,8.50,91.50,22.30,77.70,14.60,85.40,,Margaret Ashton (Secretary)
Connect Academy Trust,"Leigham Primary School,
Cockington Close,
Leigham,
United Kingdom,
PL6 8RF",10192252,"1,
85200",0.00,0.00,0.00,0.00,0.00,0.00,4.00,96.00,5.00,95.00,7.00,93.00,19.00,81.00,http://theconnect.academy,
CONTRACTOR UMBRELLA LIMITED,"12 , St Peter's Court,
St Peter's Street,
Colchester,
CO1 1WD",04324081,69201,14.00,5.00,12.00,8.00,100.00,100.00,77.00,23.00,66.00,34.00,81.00,19.00,80.00,20.00,http://www.contractorumbrella.com/genderpayreporting.html,Lucy  Smith (Managing Director)
Cooper Topco Ltd.,"St James Business Centre,
Wilderspool Causeway,
Warrington,
Cheshire,
England,
WA4 6PS",09472834,61200,29.00,29.00,53.00,56.00,6.00,10.00,51.00,49.00,71.00,29.00,82.00,18.00,90.00,10.00,,Rob Potter (CEO)
Cooperatieve Rabobank U.A.,"Thames Court,
1 Queenhithe,
LONDON,
LONDON,
UK,
EC4V 3RL",FC011780,,20.20,22.20,48.10,28.00,88.00,93.00,68.00,32.00,69.00,31.00,78.00,22.00,89.00,11.00,https://www.rabobank.com/nl/about-rabobank/in-society/diversity/gender-diversity-targets/index.html,Tamira Treffers-Herrera (Regional Head Europe & General Manager London)
Coral Racing Ltd.,"5th Floor The Zig Zag Building,
70 Victoria Street,
London,
England,
England,
SW1E 6SQ",00541600,92000,14.00,4.00,74.00,25.00,82.00,78.00,48.00,52.00,47.00,53.00,48.00,52.00,61.00,39.00,https://www.ladbrokescoralplc.com/~/media/Files/L/Ladbrokes-Coral-Group/responsible-business-downloads/gender-pay-reporting-dec-2017-v2.pdf,Neil Cuthbertson (Director of Reward)
Corby Borough Council,"The Corby Cube, Parkland Gateway,
George Street,
Corby,
NN17 1QG",,"1,
84110",9.20,11.20,0.00,0.00,0.00,0.00,46.00,54.00,25.00,75.00,56.00,44.00,49.00,51.00,,
Cornerstone Community Care,"39 Huntly Street,
Aberdeen,
United Kingdom,
AB10 1TJ",SC070762,"87300,
88100,
88910,
88990",-2.70,0.00,0.00,0.00,0.00,0.00,21.40,78.60,23.30,76.70,20.80,79.20,17.80,82.20,https://www.cornerstone.org.uk/news.php?id=statements,Mairi Martin (Leader of Strategy Implementation)
Cotswold Motor Group Ltd.,"Cotswold Motor Group Corinthian Way,
The Reddings,
Cheltenham,
England,
GL51 6UP",03028787,45111,17.70,16.20,50.30,48.70,79.00,68.00,67.00,33.00,62.00,38.00,73.00,27.00,89.00,11.00,,Mitchell James (Company Secretary)
Coventry Building Society,"Economic House, PO Box 9,
High Street,
Coventry,
CV1 5QN",MUT0148B,,33.10,31.30,43.00,31.10,94.00,97.00,22.00,78.00,26.00,74.00,40.00,60.00,61.00,39.00,https://www.coventrybuildingsociety.co.uk/content/dam/cbs/consumer/pdf/our-performance/corporate-governance/CBS_Gender_Pay_Gap_report_2017.pdf,Mark Parsons (CEO)
Cp Woburn (Operating Co.) Ltd.,"One Edison Rise,
New Ollerton,
Newark,
Nottinghamshire,
United Kingdom,
NG22 9DP",07656412,55900,9.30,13.20,49.60,51.40,34.10,33.00,25.00,75.00,23.70,76.30,41.80,58.20,42.60,57.40,https://www.centerparcs.co.uk/company-information/corporate.html,Martin Dalby (CEO)
Creamline Dairies Ltd.,"Creamline Dairies,
Mellors Road,
Trafford Park,
Manchester,
United Kingdom,
M17 1PB",00396381,"10511,
46330,
46341,
47990",8.70,-2.60,-55.90,-48.90,75.40,14.20,90.30,9.70,93.40,6.60,88.50,11.50,93.40,6.60,,Robert Purvis (Joint Managing Director)
CREATIVE LYNX LIMITED,"Havas House Hermitage Court, Hermitage Lane,
Maidstone,
Kent,
England,
ME16 9NT",04028821,70229,12.00,9.00,-12.00,0.00,44.00,70.00,41.00,59.00,44.00,56.00,53.00,47.00,52.00,48.00,,Sophie Jackson (Head of HR)
Crown Prosecution Services,"Rose Court, 2 Southwark Bridge,
SE1 9HS",,"1,
84230",10.60,25.30,16.00,1.70,0.30,0.10,30.00,70.00,31.00,69.00,39.00,61.00,41.00,59.00,https://www.cps.gov.uk/publication/gender-pay-gap-report-year-ending-march-2017.,
Crystal Services PLC,"Unit 6 Loughton Business Centre,
Langston Road,
Loughton,
Essex,
United Kingdom,
IG10 3SD",01812016,"81210,
81222,
82990",7.00,4.00,3.00,78.00,37.00,5.00,35.00,65.00,48.00,52.00,48.00,52.00,35.00,65.00,,Debbie Turner (Payroll & Personnel Manager)
Cundall Ltd.,"Partnership House Regent Farm Road,
Gosforth,
Newcastle Upon Tyne,
United Kingdom,
NE3 3AF",05491742,78300,26.00,29.60,46.40,0.00,94.00,97.00,57.70,42.30,72.10,27.90,81.70,18.30,92.30,7.70,http://www.cundall.com/DownloadAttachment.aspx?PostingId=5478&File=b7d0c6a5-794d-43ee-8bb8-2b71d5b02594Taking%20Action%20on%20Gender%20Diversity.pdf,Carole O'Neil (Partner)
DALE CARE LIMITED,"13, Hope Street,
Crook,
Co Durham,
England,
DL15 9HS",02795946,88100,0.00,0.00,0.00,0.00,0.00,0.00,17.00,83.00,17.00,83.00,17.00,83.00,17.00,83.00,,Mike Thompson (Finance Director)
Dana UK Axle Ltd.,"Bridgeway House,
Bridgeway,
Stratford-Upon-Avon,
United Kingdom,
CV37 6YX",06088792,82990,10.00,10.00,0.00,0.00,5.00,0.50,50.00,50.00,60.00,40.00,90.00,10.00,84.00,16.00,,Harpreet Varanitch (HR Manager)
DANIEL THWAITES PUBLIC LIMITED COMPANY,"Star Brewery, Penny Street,
Blackburn,
BB1 6HL",00051702,11050,14.30,3.80,93.00,60.30,18.70,32.30,43.60,56.40,32.70,67.30,40.40,59.60,54.60,45.40,https://www.thwaites.co.uk/gender-pay-gap-statement/,Joanne Carlin (Director of People and Development)
Darlington College Of Technology,"Central Park,
Haughton Road,
Darlington,
County Durham,
United Kingdom,
DL1 1DR",,"1,
85320",11.30,30.00,0.00,0.00,0.00,0.00,25.70,74.30,30.70,69.30,37.70,62.30,44.70,55.30,,
DATA INSTALLATION & NETWORKING SERVICES LIMITED,"Russell House, Oxford Road,
Bournemouth,
BH8 8EX",02802029,"43999,
62090",14.30,13.10,48.40,49.70,9.20,20.00,75.90,24.10,75.50,24.50,81.50,18.50,92.50,7.50,http://datatechniques.co.uk/corporate-policies/,Ian Crockford (Chief Executive Officer)
DE LA RUE INTERNATIONAL LIMITED.,"De La Rue House, Jays Close,
Basingstoke,
RG22 4BS",00720284,"18129,
96090",10.00,9.70,42.90,45.70,21.30,30.40,74.00,26.00,73.00,27.00,76.00,24.00,85.00,15.00,http://www.delarue.com/about-us/corporate-responsibility/resources/gender-diversity,Martin Sutherland (CEO)
DELOITTE LLP,"2, New Street Square,
London,
EC4A 3BZ",OC303675,,17.00,12.10,52.20,41.20,59.40,60.70,51.00,49.00,51.00,49.00,56.00,44.00,64.00,36.00,https://www2.deloitte.com/uk/en/pages/growth/articles/gender-pay-gap-announcement.html,Emma Codd (Managing Partner Talent)
DELOITTE MCS LIMITED,"Hill House, 1 Little New Street,
London,
EC4A 3TR",03311052,"69201,
70229,
82990",20.40,17.80,50.30,38.70,68.20,69.60,55.00,45.00,57.00,43.00,63.00,37.00,76.00,24.00,https://www2.deloitte.com/uk/en/pages/growth/articles/gender-pay-gap-announcement.html,Emma Codd (Managing Partner Talent)
Dennis & Robinson Ltd.,"Paula Rosa Manhattan Blenheim Road,
Lancing Business Park,
Lancing,
West Sussex,
United Kingdom,
BN15 8UH",00460938,31020,-11.10,-6.70,64.90,-45.00,56.50,27.60,98.30,1.70,67.80,32.20,69.50,30.50,76.70,23.30,,Joanna Morrow (HR Manager)
"Department for Business, Energy & Industrial Strategy","1 Victoria Street,
SW1H 0ET",,1,12.00,15.00,12.00,15.00,80.00,76.00,40.00,60.00,54.00,46.00,60.00,40.00,61.00,39.00,https://www.gov.uk/government/publications/beis-gender-pay-gap-report-and-data-2017,
Department for Communities and Local Government,"Fry Building,
2 Marsham St,
London,
SW1P 4DF",,1,5.90,9.80,19.40,-33.30,43.80,46.70,44.80,55.20,51.40,48.60,52.70,47.30,57.80,42.20,https://www.gov.uk/government/publications/dclg-gender-pay-gap-report-and-data-2017,
Department for Culture Media & Sport,"100 Parliament Street,
SW1A 2BQ",,1,3.30,8.20,-7.10,-92.40,41.40,41.00,44.70,55.30,47.30,52.70,50.70,49.30,48.00,52.00,https://www.gov.uk/government/publications/dcms-gender-pay-gap,
Department for Education,"Great Smith Street,
London,
SW1P 3BT",,1,5.30,5.90,0.80,0.00,67.00,72.00,39.00,61.00,39.00,61.00,45.00,55.00,47.00,53.00,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/632277/Gender_Pay_Gap.pdf,
Department For Exiting The European Union,"9 Downing Street,
SW1A 2AS",,1,15.30,8.90,0.00,0.00,0.00,0.00,34.00,66.00,56.00,44.00,55.00,45.00,48.00,52.00,https://www.gov.uk/government/publications/dexeu-gender-pay-gap-report-201617,
Department for International Development,"Abercrombie House,
Eaglesham Road,
East Kilbride,
G75 8EA",,1,8.50,6.80,6.90,0.00,47.70,50.70,37.80,62.20,42.30,57.70,44.30,55.70,53.20,46.80,https://www.gov.uk/government/publications/dfid-gender-pay-gap-report-and-data-2016-17,
Department for International Trade,"3 Whitehall Pl,
Westminster,
SW1A 2AH",,1,3.60,2.70,-14.40,3.10,27.00,31.00,52.00,48.00,57.00,43.00,57.00,43.00,57.00,43.00,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/668758/Gender_Pay_Gap_Report_2017.pdf,
Department For Transport,"Great Minster House,
33 Horseferry Road,
London,
SW1P 4DR",,1,16.90,22.60,25.20,22.20,53.00,71.00,33.00,67.00,49.90,50.10,71.20,28.80,67.70,32.30,https://www.gov.uk/government/publications/dft-gender-pay-gap-report-and-data-2017,
Department Of Health,"39 Victoria Street,
SW1H 0EU",,1,14.20,13.30,33.10,10.40,19.60,17.80,28.10,71.90,31.40,68.60,39.20,60.80,45.30,54.70,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/668649/Gender_Pay_Gap_Data.pdf,
Department Of Work And Pensions,"Caxton House,
6-12 Tothill Street,
SW1H 9NA",,1,5.30,0.00,12.30,0.00,81.00,87.00,34.50,65.50,29.50,70.50,30.10,69.90,37.60,62.40,https://www.gov.uk/government/publications/dwp-gender-pay-gap-report-and-data-2017,
"Department, for Environment, Food and Rural Affairs","Nobel House,
17 Smith aquare,
London,
Sw1P 3JR",,1,11.50,12.10,20.60,16.70,47.00,45.00,36.10,63.90,42.90,57.10,49.50,50.50,57.10,42.90,https://www.gov.uk/government/publications/defra-gender-pay-gap-report-and-data-2017,
