EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPayPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleMedianBonusPayPercent,FemaleMedianBonusPayPercent,MaleLowerPayBand,FemaleLowerPayBand,MaleMiddlePayBand,FemaleMiddlePayBand,MaleUpperPayBand,FemaleUpperPayBand,MaleUpperQuartilePayBand,FemaleUpperQuartilePayBand,CompanyLinkToGPGInfo,ResponsiblePerson
PHASE EIGHT (FASHION & DESIGNS) LIMITED,"55, Kimber Road,
London,
United Kingdom,
SW18 4NX",01735454,"47710,
47721,
47910",64.80,54.50,22.00,62.40,18.20,75.00,0.30,99.70,0.30,99.70,0.30,99.70,9.70,90.30,http://www.phase-eight.com/fcp/content/gender-pay-policy/content,Benjamin Barnett (Chief Executive Officer)
Planet Organic Ltd.,"42 Westbourne Grove,
London,
United Kingdom,
W2 5SH",03826282,"47210,
47220,
47240,
47290",7.60,3.00,24.00,1.90,62.00,75.00,44.00,56.00,37.00,63.00,48.00,52.00,50.00,50.00,http://www.planetorganic.com/gender-pay-gap-report-2017/,KIM Gieske (HR Director)
PORK FARMS CASPIAN LIMITED,"C/O Pork Farms Limited Pork Farms Limited, Queens Drive,
Nottingham,
NG2 1LU",09104836,10890,4.50,5.80,-42.70,0.00,17.20,15.90,58.90,41.10,67.50,32.50,76.00,24.00,72.60,27.40,http://www.addofoodgroup.com/media/1203/2017_gender_pay_gap_reporting_pork_farms_caspian_limited.pdf,Samantha Hart (Head of HR)
PORK FARMS LIMITED,"Tottle Bakery, Queens Drive,
Nottingham,
NG2 1LU",05998346,10890,5.90,1.20,35.00,0.00,14.70,17.20,65.20,34.80,71.20,28.80,77.80,22.20,74.20,25.80,http://www.addofoodgroup.com/media/1202/2017_gender_pay_gap_reporting_pork_farms_limited.pdf,Samantha Hart (Head of HR)
Porthaven Group Holdings Ltd.,"1 High Street,
Windsor,
Berkshire,
United Kingdom,
SL4 1LD",07677720,70100,0.00,0.00,0.00,0.00,1.00,1.00,20.00,80.00,20.00,80.00,20.00,80.00,20.00,80.00,,Clive Snellgrove (Finance Director Designate)
Portsmouth City Council,"Floor 1, Core 5, Civic Offices,
Guildhall Square,
Portsmouth,
PO1 2AL",,"1,
84110",11.00,15.00,48.00,63.00,4.00,3.00,22.00,78.00,20.00,80.00,27.00,73.00,33.00,67.00,https://www.portsmouth.gov.uk/ext/documents-external/cou-gender-pay-gap-report.pdf,
Portsmouth Water Ltd.,"PO BOX No8,
West Street,
Havant,
Hampshire,
United Kingdom,
PO9 1LG",02536455,36000,14.70,13.10,29.20,24.10,97.00,97.00,51.00,49.00,67.00,33.00,77.00,23.00,76.00,24.00,https://www.portsmouthwater.co.uk/wp-content/uploads/2018/01/GENDER-PAY-GAP-2017.pdf,Neville Smith (Managing Director)
Pramacare,"Moran House 1 Holes Bay Park,
Sterte Avenue West,
Poole,
Dorset,
United Kingdom,
BH15 2AA",02359751,"86900,
88100",13.80,-0.70,13.00,-0.70,4.50,7.20,16.40,83.60,1.60,98.40,8.20,91.80,9.70,90.30,https://www.pramacare.org.uk/About_Prama.html,Steve Robinson (Chief Executive Officer)
PREMIER FOODS GROUP LIMITED,"Premier House, Centrium Business Park,
Griffiths Way, St. Albans,
AL1 2RE",00281728,"10130,
10611,
10710,
10730,
10890",10.00,12.20,14.10,-7.10,32.50,19.50,49.00,51.00,65.00,35.00,70.00,30.00,75.00,25.00,http://www.premierfoods.co.uk/responsibility/Gender-Diversity,David Wilkinson (HR and Communications Director)
PRICEWATERHOUSECOOPERS LLP,"1, Embankment Place,
London,
WC2N 6RH",OC303525,,33.10,34.40,58.60,67.10,93.20,91.00,11.80,88.20,37.90,62.10,50.30,49.70,63.30,36.70,http://www.pwc.co.uk/who-we-are/gender-pay-report.html,"Laura Hinton (PwC UK, Head of People)"
PRICEWATERHOUSECOOPERS SERVICES LIMITED,"1, Embankment Place,
London,
WC2N 6RH",00728502,82990,12.00,13.10,33.00,32.30,70.60,71.60,50.10,49.90,48.90,51.10,53.00,47.00,62.20,37.80,http://www.pwc.co.uk/who-we-are/gender-pay-report.html,"Laura Hinton (PwC UK, Head of People)"
PRINCESS ALICE HOSPICE,"West End Lane, Esher,
Surrey,
KT10 8NA",01599796,"85590,
86900,
88990",-0.50,-3.60,0.00,0.00,0.00,0.00,15.40,84.60,14.40,85.60,13.50,86.50,10.70,89.30,https://www.pah.org.uk/about-us/fact-figures/,Nicki Shaw (Chief Executive)
